Date of year,clients,previously_shoped,member,promotion,shop_competitor,prize_won,require_financing,got_a_TV,did_a purchase,promotions_used,LT_clients,prize_amount,amount_financing,amount_purchase,nb_electronics
2018-08-31,1,0,0,0,1,0,0,0,0,1,14,0,0,,1
2017-10-31,2,0,0,1,0,0,0,0,1,1,12,133.125,0,1480,1
2018-05-31,3,0,0,0,1,0,0,0,1,1,6,0,0,3360,1
2018-01-31,4,0,0,0,0,0,0,0,1,1,7,0,0,970,1
2018-10-31,5,1,0,1,1,1,0,0,1,2,9,146.4583333,0,3380,0
2018-10-31,6,0,0,0,1,1,1,0,1,3,10,0,12708.33333,3780,0
2018-06-30,7,0,0,0,0,0,0,0,1,2,0,0,0,1950,0
2018-03-31,8,0,0,0,1,0,0,0,1,1,0,0,0,3600,1
2018-06-30,9,0,0,0,1,1,0,1,1,2,7,0,0,1800,0
2018-10-31,10,0,0,1,0,1,0,0,1,2,4,167.3611111,0,1830,0
2018-07-31,11,0,0,1,1,1,1,0,1,3,8,152.4305556,8208.333333,4490,0
2018-08-31,12,0,0,0,1,0,0,0,1,1,11,0,0,2720,1
2017-10-31,13,0,0,0,0,1,0,0,1,2,9,0,0,1010,0
2017-12-31,14,0,0,1,0,0,0,0,1,1,7,144.7222222,0,2400,1
2018-07-31,15,1,0,0,1,1,1,0,0,2,14,0,25541.66667,,0
2017-11-30,16,0,0,1,1,0,0,0,1,1,14,135.0694444,0,3440,1
2017-12-31,17,1,0,0,1,0,0,0,1,1,6,0,0,2290,1
2017-12-31,18,0,0,0,0,0,1,0,1,2,12,0,22208.33333,1110,0
2017-12-31,19,0,0,0,1,1,0,0,1,4,11,0,0,2360,0
2018-03-31,20,0,0,0,1,0,0,0,1,1,4,0,0,3060,1
2018-10-31,21,0,0,1,0,0,0,1,1,1,128,111.0416667,0,2020,1
2017-11-30,22,0,0,1,0,1,0,0,1,2,7,142.0833333,0,1340,0
2018-10-31,23,0,0,0,0,0,0,0,1,4,16,0,0,560,0
2017-10-31,24,0,1,0,0,1,0,0,1,2,18,0,0,1100,0
2018-09-30,25,0,0,0,1,0,0,0,1,1,6,0,0,2630,1
2018-03-31,26,0,0,0,1,0,1,0,1,2,13,0,22458.33333,1910,0
2018-08-31,27,0,0,1,1,0,0,0,1,1,14,126.1111111,0,550,1
2018-02-28,28,0,1,0,0,0,0,0,0,1,8,0,0,,1
